vmp_id,route
39709011000001102,V
39708911000001106,V
36015811000001103,P
4078411000001107,P
41760411000001106,P
4638311000001106,P
41760311000001104,P
20532611000001105,P
13821411000001101,P
39712911000001106,O
19223111000001102,O
19223011000001103,O
41956611000001106,P
41955711000001105,P
41950111000001101,P
41881011000001107,P
38421711000001103,P
4700511000001101,P
36125511000001104,P
35915111000001103,P
41792311000001102,P
41795111000001106,P
36072411000001103,P
4700611000001102,P
10919611000001103,P
41786311000001104,P
35601611000001106,P
36125011000001107,P
41785011000001106,P
24856311000001103,P
41792511000001108,P
23344411000001103,P
36124911000001107,P
41786511000001105,P
41956411000001108,P
41784711000001109,P
41950511000001105,P
36071311000001101,P
36041911000001101,P
41785911000001105,P
7977911000001102,P
41950211000001107,P
41786411000001106,P
36125411000001103,P
36125211000001102,P
35915211000001109,P
20293611000001101,P
41955611000001101,P
32464311000001101,P
27957911000001102,P
36042011000001108,P
36072611000001100,P
4508111000001108,P
4052711000001101,P
22154711000001106,P
35601211000001109,P
4052811000001109,P
41784611000001100,P
41792411000001109,P
5127511000001108,P
36072511000001104,P
